"exchange","bid","ask","time","created_at"
"coincheck","485020.0","485092.0","1502783147","2017-08-15 07:45:47 UTC"
"coincheck","484691.0","485000.0","1502783267","2017-08-15 07:47:47 UTC"
"zaif","484150.0","484300.0","1502783268","2017-08-15 07:47:48 UTC"
"coincheck","484703.0","484995.0","1502783269","2017-08-15 07:47:49 UTC"
"zaif","484155.0","484300.0","1502783269","2017-08-15 07:47:49 UTC"
"coincheck","485000.0","485004.0","1502783271","2017-08-15 07:47:51 UTC"
"zaif","484155.0","484300.0","1502783271","2017-08-15 07:47:51 UTC"
"coincheck","485000.0","485002.0","1502783272","2017-08-15 07:47:52 UTC"
"zaif","484155.0","484300.0","1502783273","2017-08-15 07:47:53 UTC"
"coincheck","484717.0","485003.0","1502783274","2017-08-15 07:47:54 UTC"
"zaif","484160.0","484300.0","1502783274","2017-08-15 07:47:54 UTC"
"coincheck","484722.0","484792.0","1502783276","2017-08-15 07:47:56 UTC"
"zaif","484310.0","484325.0","1502783276","2017-08-15 07:47:56 UTC"
"coincheck","484501.0","484617.0","1502783278","2017-08-15 07:47:58 UTC"
"zaif","484310.0","484380.0","1502783278","2017-08-15 07:47:58 UTC"
"coincheck","484506.0","484615.0","1502783279","2017-08-15 07:47:59 UTC"
"zaif","484315.0","484380.0","1502783280","2017-08-15 07:48:00 UTC"
"coincheck","484508.0","484622.0","1502783281","2017-08-15 07:48:01 UTC"
"zaif","484350.0","484380.0","1502783281","2017-08-15 07:48:01 UTC"
"coincheck","484514.0","484622.0","1502783283","2017-08-15 07:48:03 UTC"
"zaif","484350.0","484380.0","1502783283","2017-08-15 07:48:03 UTC"
"coincheck","484515.0","484622.0","1502783284","2017-08-15 07:48:04 UTC"
"zaif","484355.0","484380.0","1502783284","2017-08-15 07:48:04 UTC"
"coincheck","484521.0","484622.0","1502783286","2017-08-15 07:48:06 UTC"
"zaif","484355.0","484380.0","1502783286","2017-08-15 07:48:06 UTC"
"coincheck","484523.0","484574.0","1502783287","2017-08-15 07:48:07 UTC"
"zaif","484355.0","484380.0","1502783288","2017-08-15 07:48:08 UTC"
"coincheck","484528.0","484574.0","1502783289","2017-08-15 07:48:09 UTC"
"zaif","484355.0","484380.0","1502783289","2017-08-15 07:48:09 UTC"
"coincheck","484529.0","484574.0","1502783291","2017-08-15 07:48:11 UTC"
"zaif","484355.0","484380.0","1502783291","2017-08-15 07:48:11 UTC"
"coincheck","484550.0","484574.0","1502783292","2017-08-15 07:48:12 UTC"
"zaif","484355.0","484380.0","1502783292","2017-08-15 07:48:12 UTC"
"coincheck","484551.0","484574.0","1502783294","2017-08-15 07:48:14 UTC"
"zaif","484355.0","484380.0","1502783294","2017-08-15 07:48:14 UTC"
"coincheck","484551.0","484574.0","1502783295","2017-08-15 07:48:15 UTC"
"zaif","484355.0","484380.0","1502783295","2017-08-15 07:48:15 UTC"
"coincheck","484551.0","484574.0","1502783296","2017-08-15 07:48:16 UTC"
"zaif","484355.0","484380.0","1502783297","2017-08-15 07:48:17 UTC"
"coincheck","484556.0","484622.0","1502783298","2017-08-15 07:48:18 UTC"
"zaif","484355.0","484380.0","1502783298","2017-08-15 07:48:18 UTC"
"coincheck","484557.0","484900.0","1502783300","2017-08-15 07:48:20 UTC"
"zaif","484355.0","484380.0","1502783300","2017-08-15 07:48:20 UTC"
"coincheck","484563.0","484950.0","1502783302","2017-08-15 07:48:22 UTC"
"zaif","484360.0","484415.0","1502783302","2017-08-15 07:48:22 UTC"
"coincheck","484567.0","484969.0","1502783303","2017-08-15 07:48:23 UTC"
"zaif","484365.0","484415.0","1502783303","2017-08-15 07:48:23 UTC"
"coincheck","484572.0","484977.0","1502783305","2017-08-15 07:48:25 UTC"
"zaif","484365.0","484415.0","1502783305","2017-08-15 07:48:25 UTC"
"coincheck","484578.0","484968.0","1502783306","2017-08-15 07:48:26 UTC"
"zaif","484370.0","484415.0","1502783307","2017-08-15 07:48:27 UTC"
"coincheck","484586.0","484959.0","1502783308","2017-08-15 07:48:28 UTC"
"zaif","484370.0","484410.0","1502783308","2017-08-15 07:48:28 UTC"
"coincheck","484590.0","484949.0","1502783310","2017-08-15 07:48:30 UTC"
"zaif","484375.0","484410.0","1502783310","2017-08-15 07:48:30 UTC"
"coincheck","484604.0","484954.0","1502783311","2017-08-15 07:48:31 UTC"
"zaif","484375.0","484415.0","1502783312","2017-08-15 07:48:32 UTC"
"coincheck","484614.0","485023.0","1502783313","2017-08-15 07:48:33 UTC"
"zaif","484375.0","484415.0","1502783313","2017-08-15 07:48:33 UTC"
"coincheck","484625.0","485021.0","1502783315","2017-08-15 07:48:35 UTC"
"zaif","484380.0","484410.0","1502783315","2017-08-15 07:48:35 UTC"
"coincheck","484634.0","485023.0","1502783317","2017-08-15 07:48:37 UTC"
"zaif","484380.0","484410.0","1502783317","2017-08-15 07:48:37 UTC"
"coincheck","484704.0","485000.0","1502783319","2017-08-15 07:48:39 UTC"
"zaif","484415.0","484540.0","1502783320","2017-08-15 07:48:40 UTC"
"coincheck","484714.0","485000.0","1502783321","2017-08-15 07:48:41 UTC"
"zaif","484415.0","484540.0","1502783321","2017-08-15 07:48:41 UTC"
