"exchange","bid","ask","time","created_at"
"coincheck","468176.0","468443.0","1503068928","2017-08-18 15:08:48 UTC"
"bitflyer","467813.0","467970.0","1503068929","2017-08-18 15:08:49 UTC"
"coincheck","468181.0","468438.0","1503068930","2017-08-18 15:08:50 UTC"
"bitflyer","467813.0","467970.0","1503068930","2017-08-18 15:08:50 UTC"
"coincheck","468187.0","468429.0","1503068932","2017-08-18 15:08:52 UTC"
"bitflyer","467813.0","467970.0","1503068932","2017-08-18 15:08:52 UTC"
"coincheck","468050.0","468423.0","1503068933","2017-08-18 15:08:53 UTC"
"bitflyer","467511.0","467744.0","1503068934","2017-08-18 15:08:54 UTC"
"coincheck","468191.0","468417.0","1503068935","2017-08-18 15:08:55 UTC"
"bitflyer","467511.0","467744.0","1503068935","2017-08-18 15:08:55 UTC"
"coincheck","468200.0","468408.0","1503068937","2017-08-18 15:08:57 UTC"
"bitflyer","467511.0","467744.0","1503068937","2017-08-18 15:08:57 UTC"
"coincheck","468204.0","468397.0","1503068938","2017-08-18 15:08:58 UTC"
"bitflyer","467511.0","467744.0","1503068939","2017-08-18 15:08:59 UTC"
"coincheck","468208.0","468389.0","1503068940","2017-08-18 15:09:00 UTC"
"bitflyer","467511.0","467744.0","1503068941","2017-08-18 15:09:01 UTC"
"coincheck","468213.0","468384.0","1503068942","2017-08-18 15:09:02 UTC"
"bitflyer","467511.0","467744.0","1503068943","2017-08-18 15:09:03 UTC"
"coincheck","468217.0","468376.0","1503068944","2017-08-18 15:09:04 UTC"
"bitflyer","467511.0","467744.0","1503068944","2017-08-18 15:09:04 UTC"
"coincheck","468195.0","468370.0","1503068946","2017-08-18 15:09:06 UTC"
"bitflyer","467511.0","467744.0","1503068946","2017-08-18 15:09:06 UTC"
"coincheck","468200.0","468359.0","1503068947","2017-08-18 15:09:07 UTC"
"bitflyer","467511.0","467744.0","1503068948","2017-08-18 15:09:08 UTC"
"coincheck","468204.0","468353.0","1503068949","2017-08-18 15:09:09 UTC"
"bitflyer","467511.0","467744.0","1503068949","2017-08-18 15:09:09 UTC"
"coincheck","468355.0","468629.0","1503068951","2017-08-18 15:09:11 UTC"
"bitflyer","467501.0","467803.0","1503068952","2017-08-18 15:09:12 UTC"
"coincheck","468505.0","468759.0","1503068954","2017-08-18 15:09:14 UTC"
"bitflyer","467501.0","467813.0","1503068954","2017-08-18 15:09:14 UTC"
"coincheck","468509.0","468758.0","1503068955","2017-08-18 15:09:15 UTC"
"bitflyer","467501.0","467813.0","1503068956","2017-08-18 15:09:16 UTC"
"coincheck","468514.0","468754.0","1503068957","2017-08-18 15:09:17 UTC"
"bitflyer","467501.0","467813.0","1503068958","2017-08-18 15:09:18 UTC"
"coincheck","468519.0","468749.0","1503068959","2017-08-18 15:09:19 UTC"
"bitflyer","467501.0","467813.0","1503068960","2017-08-18 15:09:20 UTC"
"coincheck","468529.0","468745.0","1503068961","2017-08-18 15:09:21 UTC"
"bitflyer","467530.0","467813.0","1503068961","2017-08-18 15:09:21 UTC"
"coincheck","468530.0","468749.0","1503068962","2017-08-18 15:09:22 UTC"
"bitflyer","467530.0","467813.0","1503068963","2017-08-18 15:09:23 UTC"
"coincheck","468541.0","468741.0","1503068964","2017-08-18 15:09:24 UTC"
"bitflyer","467540.0","467813.0","1503068965","2017-08-18 15:09:25 UTC"
"coincheck","468601.0","468737.0","1503068967","2017-08-18 15:09:27 UTC"
"bitflyer","467541.0","467813.0","1503068967","2017-08-18 15:09:27 UTC"
"coincheck","468601.0","468745.0","1503068968","2017-08-18 15:09:28 UTC"
"bitflyer","467551.0","467813.0","1503068970","2017-08-18 15:09:30 UTC"
"coincheck","468601.0","468745.0","1503068971","2017-08-18 15:09:31 UTC"
"bitflyer","467560.0","467813.0","1503068971","2017-08-18 15:09:31 UTC"
"coincheck","468601.0","468735.0","1503068973","2017-08-18 15:09:33 UTC"
"bitflyer","467561.0","467813.0","1503068974","2017-08-18 15:09:34 UTC"
"coincheck","468606.0","468727.0","1503068975","2017-08-18 15:09:35 UTC"
